candidate_name,candidate_party
Ghulam Qadir,Pakistan Peoples Party Parliamentarians
Mir Wali,Jamiat Ulema-e Islam (Fazl)
Khizarul Islam,Qaumi Watan Party
Ashique Hussain Qureshi,Independents
Farhat Muhammad Khan,Muttahida Qaumi Movement
Qazi Muhammad Bashir,Pakistan Peoples Party Parliamentarians
Muhammad Aslam Khan Khattak,Pakistan Muslim League (Nawaz)
Jumma Khan Babar,Awami National Party
Din Muhammad,Independents
Sufyan Yousuf,Muttahida Qaumi Movement
Sohail Ansari,Pakistan Peoples Party Parliamentarians
Saifullah Advocate,Independents
Dr. Nadeem Ehsan,Muttahida Qaumi Movement
Saathi Ishaque,Pakistan Peoples Party Parliamentarians
Muhammad Ilyas Siddique,Jamiat Ulema-e Islam (Fazl)
Azeemuddin Khan,Independents
Masood Ahmed,Independents
Nabeel Ahmed Gabol,Pakistan Peoples Party Parliamentarians
Shaikh Maqsood Ahmed,Independents
Wasiullah Lakhoo,Muttahida Qaumi Movement
Shaikh Maqsood Ahmed,Pakistan Muslim League (Nawaz)
Ibrahim Rais Advocate,Jamiat Ulema-e Islam (Fazl)
Muhammad Tahir,Sunni Tehreek
Mukhtar Ali,Independents
Muhammad Asim Ahsan,Independents
Ameer Khan Chandio,Independents
Dr. Muhammad Farooq Sattar,Muttahida Qaumi Movement
Abdul Habib Memon,Pakistan Peoples Party Parliamentarians
Shabbir Abu Talib,Jamiat Ulema-e Islam (Fazl)
Abdullah Balouch,Independents
Muhammad Asif Siddiqui,Independents
Atta Ur Rehman,Jamiat Ulema-e Islam (Fazl)
Habibullah Khan Kundi,Pakistan Muslim League (Qaid-e-Azam)
Dawar Khan Kundi,Pakistan Peoples Party Parliamentarians
Abdur Rahim Khan Kundi,Independents
Umar Amin Khan,Independents
Al-Haj Sardar Umar Farooq Mian Khel,Independents
Nawabzada Mohammad Saifullah Khan,Independents
Hizbullah Gandapur,Pakistan Muslim League (Nawaz)
Fahimullah Gandapur,Independents
Irfanullah Khan Kundi,Independents
Tariq Rahim Kundi,Independents
Khush Bakhat Shujaat,Muttahida Qaumi Movement
Dr. Mirza Ikhtiar Baig,Pakistan Peoples Party Parliamentarians
Saleem Zia,Pakistan Muslim League (Nawaz)
Captain Haleem Ahmed Siddiqui,Independents
Muhammad Farooq Bangsh,Awami National Party
Muhammad Hanif,Sunni Tehreek
Khurram Muhammad Qamar,Pakistan Qaumi League
Muhammad Ejaz Alam,Independents
Javaid Ahmed Chhatari Advocate,Independents
Begum Salma Ahmed,Independents
Tahir Khan,Independents
Abdul Wahab Baloch,Sindh United Party
Waseem Akhter,Muttahida Qaumi Movement
Mushahiduallh Khan,Pakistan Muslim League (Nawaz)
Choudhri Umar Hayat Sandhu,Pakistan Peoples Party Parliamentarians
Irfanullah Khan Marwat,Independents
Shamim Ahmed,Independents
Sabir Gola,Independents
Qadir Bux,Independents
Abdul Rasheed Godil,Muttahida Qaumi Movement
Syed Asghar Hussain,Pakistan Peoples Party Parliamentarians
Hidayat-Ur-Rehman,Jamiat Ulema-e Islam (Fazl)
Muhammad Yousuf Kureshy,Pakistan Ittehad Tehreek
Abdul Hameed Qureshi,Independents
Wajid Nazeer,Independents
Syed Haider Abbas Rizvi,Muttahida Qaumi Movement
Syed Faisal Raza Abidi,Pakistan Peoples Party Parliamentarians
Saboohuddin Malik,Pakistan Muslim League (Nawaz)
Moulana Abdul Karim Abid,Jamiat Ulema-e Islam (Fazl)
Sultan Shahab Jahangir,Pakistan Muslim League (Qaid-e-Azam)
Durre Shahwar Pervez,Independents
Qadir Khan Mandokhail Advocate,Independents
Syed Rizwan Ahmed,Jamhoori Wattan Party
Moulana Dr. Muhammad Asad Thanwi,Independents
Syed Asghar Hussain,Independents
Khawaja Ghulam Hussain,Pakistan Peoples Party (Shaheed Bhutto)
Hamid Idrees,Sunni Tehreek
Shaikh Qasim Shah,Independents
Khadim Hussain,Independents
Aijaz Ali,Independents
Col.(R) Abdul Jabbar Abbasi,Independents
Muhammad Bakhsh Lashari Advocate,Independents
Dr. Muhammad Imtiaz Subhani,Independents
Dr. Muhammad Ayoub Shaikh,Muttahida Qaumi Movement
Syed Sohail Abrar,Pakistan Peoples Party Parliamentarians
Malik Akhtar Hussain Awan,Pakistan Muslim League (Nawaz)
Moulana Abdul Hafiz,Pakistan Muslim Alliance
Muhammad Javed Qadri,Sunni Tehreek
Allama Shafqatur Rehman,Independents
Mansoor Khan,Independents
Abdul Sattar Channa,Independents
Syed Asif Hassnain,Muttahida Qaumi Movement
Haji Nafees Ahmed Usmani,Pakistan Peoples Party Parliamentarians
Attah Muhammad Ansari,Independents
Javed Iqbal Khanzada,Independents
Shahjahan,Independents
Mir Humayun Ali Zaidi,Independents
Iqbal Muhammad Ali Khan,Muttahida Qaumi Movement
Mirza Maqbool Ahmed,Pakistan Peoples Party Parliamentarians
Zain-Ul-Abideen Ansari,Pakistan Muslim League (Nawaz)
Muhammad Siddique Rathor,Jamiat Ulema-e Islam (Fazl)
Brig. ( R ) Umair Ahmed Siddiqui,Independents
Shahzia Batul,Awami National Party
Iftikhar Anwer Khan,Independents
Sajid Ahmed,Muttahida Qaumi Movement
Riaz Hussain Lund Balouch,Pakistan Peoples Party Parliamentarians
Faheem Advocate,Pakistan Muslim League (Nawaz)
Sultan Khan Mandokhel,Awami National Party
Sohail Shahzad,Pakistan Peoples Party (Shaheed Bhutto)
Zahid Iqbal,Independents
Syed Hassan Ahmed,Independents
Sher Muhammad Balcoh,Pakistan Peoples Party Parliamentarians
Nisar Ahmed Shar,Muttahida Qaumi Movement
Abubakar Memon,Independents
Saleemullah Khan Tarak,Jamiat Ulema-e Islam (Fazl)
Molana Iqbalullah,Independents
Hafiz Zardullah Khan Hassan Zai.,Awami National Party
Syed Shabir Hussain Shah Lukyari,Independents
Muhammad Urs Khero,Pakistan Muslim League (Qaid-e-Azam)
Abdul Sattar Lagari,Independents
Dr. Muhammad Ayoub Baloch,Independents
Inam-Ul-Haque,Independents
Nisar Ahmed Soomro,Independents
Abdul Razzaq Raja,Independents
Muhammad Younus,Independents
Syed Tariq Ali,Independents
Faheem Ahmed Awan,Independents
Syed Margoob Hussain Abidi,Independents
Syed Nasir Ali Shah,Pakistan Peoples Party Parliamentarians
Anwar Ul Haq,Pakistan Muslim League (Qaid-e-Azam)
Hafiz Fazal Muhammad,Independents
Khudai Noor,Pakistan Muslim League (Nawaz)
Abdul Aziz Khan Khilji Advocate,Jamiat Ulema-e Islam (Fazl)
Khudai Dad,Awami National Party
Lt. General(R) Abdul Qadir Baloch,Independents
Syed Muhammd Fazal Agha,Independents
Shaheeda Parveen,Independents
Arshad Iqbal Jadoon,Independents
Arbab Abdul Ghani Kasi,Muttahida Qaumi Movement
Mir Zarak Khan Zehri.,Independents
Rubnia Babar,Independents
Muhammad Kashif,Independents
Shafiq Ahmed Khan,Independents
Abdul Kahliq Hazara,Independents
Abdul Qadir Luni,Independents
Syed Zahir Shah Zadi,Independents
Maulana Fazal Ur Rehman,Jamiat Ulema-e Islam (Fazl)
Malik Nasir Khan,Independents
Lt: Col (R) Alhaj Inamullah Wazir,Independents
Muhammad Mustafa Khan,Independents
Abdul Hafeez,Independents
Muhammad Roshan Khan,Muttahida Qaumi Movement
Sardar Al-Haaj Muhammad Umar Goragaje,Pakistan Peoples Party Parliamentarians
Sardar Fateh Muhammad Muhammad Hassani,Pakistan Muslim League (Qaid-e-Azam)
Malik Sikandar Khan,Jamiat Ulema-e Islam (Fazl)
Barkat Ali Thamki,Hazara Democratic Party
Syed Zahir Shah Zaidi,Independents
Engineer Noor Ahmed Khan,Awami National Party
Allah Dad Khan Barraich,Independents
Mir Abdul Ghafoor Sarparah,Independents
Muhammad Arif Badini,Balochistan National Party (Awami)
Muhammad Abbas,Independents
Malik Abdul Rehman Dehwar,Muttahida Qaumi Movement
Lashkar Khan,Independents
Abdul Ali Hazara,Independents
Molvi Agha Muhammad,Jamiat Ulema-e Islam (Fazl)
Muhammad Sarwar Khan Kakar,Pakistan Muslim League (Qaid-e-Azam)
Syed Muhammad Fazal Agha.,Independents
Dr. Taj Muhammad,Independents
Muhammad Yaqoob Ziaratwal,Pakistan Peoples Party Parliamentarians
Abdul Rasheed Nasir,Awami National Party
Akhundzada Badruddin,Pakistan Muslim League (Nawaz)
Syed Fazal Muhammad Agha,Independents
Noor Khan Tareen Advocate,Independents
Abdul Wasay Kakar Advocate,Independents
Abdul Ghaffar Panezai,Independents
Kaleemullah Tareen,Independents
Dr. Gohar Ejaz,Independents
Muhammad Anwar Khan Tareen,Independents
Mufti Muhammad Naseem,Independents
Malik Nasrullah Khan Kakar,Independents
Hafiz Muhammad Musa Jan,Independents
Haji Rozuddin,Jamiat Ulema-e Islam (Fazl)
Malik Muhammad Usman Achakzai,Awami National Party
Nazar Muhammad Kakar,Pakistan Peoples Party Parliamentarians
Haji Janan Khan Achakzai.,Independents
Naseer Ahmed Kakar,Pakistan Muslim League (Qaid-e-Azam)
Syed Musavir Shah.,Independents
Abdul Shakoor Advocate,Independents
Sardar Muhammad Israr Tareen,Pakistan Muslim League (Qaid-e-Azam)
Sardar Muhammad Yaqoob Khan Nasir,Pakistan Muslim League (Nawaz)
Sardar Mir Baz Muhammad Khan Khethran,Pakistan Peoples Party Parliamentarians
Molvi Faizullah,Jamiat Ulema-e Islam (Fazl)
Siraj-Ud-Din,Muttahida Qaumi Movement
Mir Shah Jahan Khan Khetran,Independents
Muhammad Asif Tareen,Independents
Bismillah Jan,Awami National Party
Yahya Khan,Independents
Sardar Sanaullah,Independents
Mir Sher Baz Khethran,Independents
Maulvi Asmatullah,Independents
Maulana Malik Muhammad Khan Sherani,Jamiat Ulema-e Islam (Fazl)
Sheikh Jafar Khan Mandokhail,Pakistan Muslim League (Qaid-e-Azam)
Mamoon Khan Kakar,Awami National Party
Sardar Wazir Ahmed Jogezai,Pakistan Peoples Party Parliamentarians
Abdul Khaliq,Independents
Muhammad Amin Khan Jogezai,Independents
Malik Maula Dad Khan Sherani.,Pakistan Muslim League (Nawaz)
Mir Ahmadan Khan Bugti,Pakistan Muslim League (Qaid-e-Azam)
Mir Dostain Khan Domki,Independents
Mir Jan Muhammad Masuri,Pakistan Peoples Party Parliamentarians
Molvi Attaullah,Jamiat Ulema-e Islam (Fazl)
Mir Baz Muhamamd Marri,Independents
Nawabzada Jangaiz Khan Mari,Independents
Muhammad Jan Rind,Muttahida Qaumi Movement
Taj Muhammad Jamali,Pakistan Peoples Party Parliamentarians
Mir Zahoor Hussain Khan Khoso,Independents
Abdul Rehman Khan Jamali,Pakistan Muslim League (Qaid-e-Azam)
Haji Mitha Khan Jattak,Independents
Nasrullah Jamote,Independents
Hussain Bakhsh Panhwar,Muttahida Qaumi Movement
Ataullah Khoso,Jamiat Ulema-e Islam (Fazl)
Musharraf Ali Khan Koso,Pakistan Muslim League (Functional)
Mir Abdul Maajid Abro,Independents
Syed Zulfiqar Ali Shah,Independents
Haji Sohrab Khan Khosa,Independents
Jaffar Jamali,Independents
Molvi Abdul Ghani,Independents
Molana Abdul Majeed Jattak,Independents
Liaquat Ali Jamali,Pakistan Muslim League (Nawaz)
Muhammad Dooran Khoso,Independents
Dr. Sahib Jan Lashari (Ret),Independents
Mir Hamayun Aziz Kurd,Independents
Sardar Yar Muhammad Rind,Pakistan Muslim League (Qaid-e-Azam)
Shabir Ahmed,Pakistan Peoples Party Parliamentarians
Noor Ahmed Jamote,Independents
Moulana Abdul Samad Shahwani. (R),Jamiat Ulema-e Islam (Fazl)
Maj (R) Aamir Aziz Kurd,Independents
Dr. Ayatullah Durrani,Pakistan Peoples Party Parliamentarians
Sardar Sanaullah Zehri,National Party
Molana Abdul Ghafoor Hyderi.,Jamiat Ulema-e Islam (Fazl)
Prince Faisal Daud,Independents
Noor Muhammad,Independents
Mir Munir Ahmed Shahwani,Independents
Sayed Akber Shah,Balochistan National Party (Awami)
Imdad Ali Kurd,Independents
Mir Asim Kurd,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Rahmdil Haleemi,Independents
Agha Umar Ahmed Khan,Independents
Muhammad Usman,Independents
Molvi Qamar-Ud-Din,Jamiat Ulema-e Islam (Fazl)
Mir Muhammad Ayoub Jattak,National Party
Mir Abdul Rehman Zehri,Independents
Mir Imran Jattak,Pakistan Peoples Party Parliamentarians
Mir Atta-Ur-Rehman Mengal,Pakistan Muslim League (Qaid-e-Azam)
Mir Muhammad Ashraf,Independents
Muhammad Ali Rodeni,Muttahida Qaumi Movement
Faiz-Ud-Din Sasoli,Independents
Mir Ghulam Hussain Kurd,Independents
Mir Mehrullah Khan Umrani,Pakistan Muslim League (Nawaz)
Hamayun Saifullah Khan,Pakistan Muslim League (Qaid-e-Azam)
Dr. Muhammad Khalid Raza Pir Zakori Sharif,Jamiat Ulema-e Islam (Fazl)
Khan Bahader Marwat,Independents
Hamidullah Khan,Awami National Party
Hidayatullah Khan,Independents
Nasir Muhammad Khan,Independents
Maulana Hidayatullah,Independents
Manzoor Ahmad,Independents
Imran Nawab,Independents
Munawar Khan,Independents
Pir Zada Muhammad Raees Khan,Independents
Rooh Ul Amin,Independents
Tariq Ahmad Khan,Independents
Jam Mir Muhammad Yousuf,Pakistan Muslim League (Qaid-e-Azam)
Nasrullah Roonjha,Pakistan Peoples Party Parliamentarians
Ehsanullah Reki,Pakistan Muslim League (Qaid-e-Azam)
Lt. Gen.(R) Abdul Qadir,Independents
Mir Muhammad Shoaib Baloch,Balochistan National Party (Awami)
Abdul Aziz Baloch,Jamiat Ulema-e Islam (Fazl)
Sabar Ali Baloch,Pakistan Peoples Party Parliamentarians
Khalid Ahmed Baloch Advocate,Independents
Mir Muhammad Ismail Muhammad Hassani,Independents
Attaullah Baloch,Independents
Mir Kulyan Khan Reki,Independents
Yaqoob Bizenjo,Balochistan National Party (Awami)
Zubeda Jalal,Independents
Dr. Muhammad Haider Baloch,Pakistan Peoples Party Parliamentarians
Abdul Qadeer,Pakistan Muslim League (Nawaz)
Syed Sher Jan. (R),Independents
Mufti Ahtisham-Ul-Haq Asia Abadi,Jamiat Ulema-e Islam (Fazl)
Abdul Matin Khan,Awami National Party
Barrister Gohar Ali Khan,Pakistan Peoples Party Parliamentarians
Sher Akbar Khan,Qaumi Watan Party
Fanoos Gujar,Pakistan Awami Party
Ali Sher Khan,Pakistan Muslim League (Nawaz)
Irshad Alam,Pakistan Muslim League (Qaid-e-Azam)
Muzafer Ul Mulk,Awami National Party
Main Gul Adnan Aurangzeb,Independents
Salim Rehman,Pakistan Peoples Party Parliamentarians
Fazal Rahman,Qaumi Watan Party
Maulana Sadiq Ahmad,Jamiat Ulema-e Islam (Fazl)
Riaz Ahmad Khan,Pakistan Muslim League (Nawaz)
Maryam Bibi,Muttahida Qaumi Movement
Rizwana Latif,Independents
Noor Alam Khan,Pakistan Peoples Party Parliamentarians
Muhammad Hashim Babar,Awami National Party
Aziz Ud Din,Jamiat Ulema-e Islam (Fazl)
Iqbal Zafar Jaghra,Pakistan Muslim League (Nawaz)
Muhammad Intikhab Khan,Pakistan Muslim League (Qaid-e-Azam)
Taimoor Khan,Independents
Arbab Roohullah Khan,Independents
Ajmal Khan Afridi,Independents
Syed Allauddin,Pakistan Peoples Party Parliamentarians
Sujaat Ali Khan,Pakistan Muslim League (Qaid-e-Azam)
Sher Bahader,Independents
Mohammad Hafizur Rehman,Jamiat Ulema-e Islam (Fazl)
Mohammad Ayub Khan,Awami National Party
Fanoos Gujar,Pakistan Awami Party
Mohammad Riyaz,Pakistan Muslim League (Nawaz)
Mufti Hussain Ahmad,Independents
Moulana Altafullah,Independents
Shakirullah,Independents
Amir Muqam,Pakistan Muslim League (Qaid-e-Azam)
Sadeed Ur Rehman,Awami National Party
Dr.afsar Ul Mulk Khan,Pakistan Peoples Party Parliamentarians
Rahat Hussain,Jamiat Ulema-e Islam (Fazl)
Ahmad Shah Khan,Qaumi Watan Party
Safeer Khan,Independents
Fanoos Gujar,Pakistan Awami Party
Muhammad Saleem,Independents
Shahzada Muhyuddin,Pakistan Muslim League (Qaid-e-Azam)
Sardar Muhammad Khan,Independents
Shahzada Ghulam Muhyuddin,Pakistan Peoples Party Parliamentarians
Molvi Muhammad Jehangir Khan,Jamiat Ulema-e Islam (Fazl)
Nadir Khawaja,Independents
Najum-Din Khan,Pakistan Peoples Party Parliamentarians
Sahibzada Sibghat Ullah,Independents
Naveed Anjum Khan,Awami National Party
Mohmmad-Ul-Mulk,Pakistan Muslim League (Nawaz)
Farhad Ali Khan,Pakistan Muslim League (Qaid-e-Azam)
Molana Fazal Azim,Jamiat Ulema-e Islam (Fazl)
Dr. Bahramand Khan,Independents
Maulana Said Jalal,Independents
Saleem-Ur-Rehman Advocate,Independents
Malak Azmat Khan,Pakistan Peoples Party Parliamentarians
Muhammad Ayoub Khan,Awami National Party
Qazi Fazal Ullah,Jamiat Ulema-e Islam (Fazl)
Muhammad Ishaq,Qaumi Watan Party
Javed Iqbal,Pakistan Muslim League (Qaid-e-Azam)
Shamsul Qamar Khan,Independents
Dr.bahramand Khan,Independents
Lal Muhammad Khan,Pakistan Peoples Party Parliamentarians
Nisar Muhammad,Qaumi Watan Party
Sahibzada Khalid Jan,Jamiat Ulema-e Islam (Fazl)
Muhammad Riaz,Pakistan Muslim League (Qaid-e-Azam)
Ahmadullah,Awami National Party
Sajjad Ahmad,Pakistan Muslim League (Nawaz)
Bilal Rehman,Independents
Shahbaz Khan Mohmand,Independents
Maulana Ghulam Mohammad Sadiq,Independents
Fazal Manan Mohmand,Independents
Farooq Afzal,Independents
Muhammad Naseer,Independents
Asghar Khan,Independents
Hafiz Mohabat Khan,Independents
Ataullah,Independents
Khair Ullah,Independents
Ihsan Ullah,Independents
Shahen Shah,Independents
Shahbaz Yasar Ali,Independents
Wazir Muhammad Khan,Independents
Saeed-Ur-Rehman,Independents
Javid Yousaf Mohmand,Independents
Mualim Khan,Independents
Aftab Ahmad Khan,Independents
Riyasat Ali Khan,Independents
Malik Manzoor Khan,Independents
Ikramullah Khan,Independents
Munir Khan Orakzai,Independents
Maulana Akhunzada Obaidullah Sharif,Independents
Habib Malik Orakzai,Independents
Naveed Ahmad Khan,Independents
Malak Mohammad Naseer Khan,Independents
Doctor Gul Manan,Independents
Salah-U-Din,Independents
Malak Noor Ahmad Shah Orakzai,Independents
Abdul Hameed Khan,Independents
Eid Nazar Mangal,Independents
Mohammad Amin Khan Orakzai,Independents
Haji Fazle Maula Masozai,Independents
Shamsulhaq,Independents
Akhunzada Abdul Wali Khan,Independents
Abdul Ghaffar Khan Ghafoor,Independents
Engineer Rashid Ahmad Khan,Independents
Akhunzada Mohammad Nawaz,Independents
Haji Sohbat Khan Orakzai,Independents
Malik Haji Abdul Manan Bangush,Independents
Malak Fakhar Zaman Khan,Independents
Jawad Hussain,Independents
Dr. Gul Karim Khan,Independents
Malik Atiq Ur Rehman Orakzai,Independents
Mian Syed Muhammad Hussain,Independents
Muhammad Saeed Khan Aurakzai,Independents
Tahir Iqbal,Independents
Dr. Muhammad Javed Abdul Ghani,Independents
Doctor Syed Ghazi Gulab Jamal,Independents
Syed Javed Hussain,Independents
Dr. Gulab Akbar,Independents
Hanif Khan,Independents
Mufeed Ali,Independents
Syed Noor Akber,Independents
Riaz Hussain,Independents
Arbab Muhammad Zahir Khan,Awami National Party
Muhammad Azam Afridi,Pakistan Peoples Party Parliamentarians
Ameer Maqam,Pakistan Muslim League (Qaid-e-Azam)
Maulana Nisar Khan,Jamiat Ulema-e Islam (Fazl)
Arbab Muhammad Nawaz Khan,Independents
Syed Kamal Badshah,Independents
Khalid Ikram,Independents
Niaz Ullah,Independents
Muhammad Kamran Khan,Independents
Abdul Qayyum,Pakistan Citizen Movement
Aurang Zeb Khan,Independents
Abdullah Shah,Independents
Muhammad Ajmal Khan,Independents
Maulana Syed Nek Zaman Haqani,Independents
Nisar Ali Khan Dawer,Independents
Sadiqullah Mufti,Independents
Fazal-E-Subhan,Independents
Maulana Ainullah Dawer,Independents
Sadiqullah Dawar,Independents
Dr.shahid Rauf,Independents
Hafiz Ahmad Jan,Independents
Dr.bahsir Ahmad Khan,Independents
Gul Alam,Independents
Fida Muhammad,Independents
Haji Laiq Zaman,Independents
Muhammad Asghar,Independents
Zabehullah,Independents
Muhammad Ishaq,Independents
Maulana Abdul Malik Wazir,Independents
Ghalib Khan,Independents
Aziz-Ul-Hassan,Independents
Ghani Khan,Independents
Muhammad Ali Wazir,Independents
Muhammad Jehangir,Independents
Ghulam Haider,Independents
Ajab Gul,Independents
Gul Nawaz,Independents
Jahanzeb,Independents
Muhammad Tariq,Independents
Shaukatullah Khan,Independents
Sheikh Jehanzada,Independents
Bashir Mohammad,Independents
Saeed-Ur-Rahman,Independents
Haji Akbar Jan,Independents
Mufti Israr Ahmad,Independents
Inayat-Ur-Rahman,Independents
Habib Rasool Safi,Independents
Hayat Mohammad,Independents
Syed Akhun Zada Chittan,Independents
Shahab Ud Din Khan,Independents
Gul Dad Khan,Independents
Haji Rahat Yousaf,Independents
Muhammad Fazil,Independents
Zir Muhammad,Independents
Maulana Fazal Manan,Independents
Mufti Israr Ahmad,Independents
Al Haj Mohammad Din Khan,Independents
Noor Ul Haq Qadri,Independents
Mohammad Ibrahim Koki Khel,Independents
Zahid Khan,Independents
Ajab Khan Afridi Zakha Khel,Independents
Mufti Mohammad Ijaz,Independents
Khan Zada Afridi,Independents
Dawood Khan,Independents
Ishratullah,Independents
Fazal Karim Shalmani,Independents
Haji Rasheed Khan Shinwari,Independents
Abdul Azim,Independents
Mohammad Hamayun,Independents
Sardar Azam Afridi,Independents
Hamidullah Jan Afridi,Independents
Mohammad Saeed Afridi,Independents
Zaffarullah Khan Mdk,Independents
Sohail Ahmed,Independents
Malik Zafar Khan Shalobar Qamber Khel,Independents
Hasham Khan Mdk,Independents
Dr. Niaz Badshah Sqk,Independents
Barrister Sulman Hameed Afridi Sqk,Independents
Maulana Nusrat Amin Afridi Adam Khel,Independents
Mohammad Hanif Afridi Sepah,Independents
Asghar Khan Afridi,Independents
Yar Asghar Bqk,Independents
Haji Faizullah Mdk,Independents
Maulana Khalil-Ur-Rehman Sqk,Independents
Habib Jan Shakir Qamber Khel,Independents
Noor Baddin Mdk,Independents
Amir Shah Bar Qk,Independents
Dr. Hafiz Habibullah Sqk,Independents
Alhaj Mian Gul Malik Din Khel,Independents
Saifullah Qamber Khel,Independents
Habib-Ur-Rehman Sepah,Independents
Nusrullah Khan Sqk,Independents
Haji Surat Khan Sqk,Independents
Zafar Baig Bhattani,Independents
Dr. Nasim Afridi,Independents
Malak Haji Baz Gul Khan Afridi,Independents
Malik Noor Zaman,Independents
Maulana Sher Samad,Independents
Rehman Afridi,Independents
Muhammad Azam,Independents
Muhammad Sadiq Khan Sherani,Independents
Mohib Ullah Sherani,Independents
Abid Rehman,Independents
Ashfaq Khan Bhattani,Independents
Sardar Muhammad Nawaz Khan,Independents
Shakirullah Sheirani,Independents
Musharaf Khan,Independents
Mohabat Khan Sherani,Independents
Noor Aslam,Independents
Abdur Razzaaq,Independents
Wahid Ullah Afridi,Independents
Javed Iqbal,Independents
Haji Zafar Khan Afridi,Independents
Anjum Aqeel Khan,Pakistan Muslim League (Nawaz)
Dr. Syed Israr Hussain,Pakistan Peoples Party Parliamentarians
Rizwan Sadiq Khan,Pakistan Muslim League (Qaid-e-Azam)
Azeem Chaudhry,Independents
Alamgir Khan,Pakistan Tehreek-e-Inqalab
Naila Joseph Dayal,Independents
Ch. Hamid Ali Wahla,Muttahida Qaumi Movement
Dr. Abid Rauf Orakzai,Jamiat Ulema-e Islam (Fazl)
Muhammad Usman Ikram Bajwa,Independents
Muhammad Farooq Rajput,Jamhoori Wattan Party
Dr. Rafique Ahmed Ghuncha,Independents
Dr. Muhammad Shahid Attique,Independents
Noreen Khan Advocate,Independents
Arshed Bhatti,Independents
Faisal Imran Khan Niazi,Awami National Party
Syed Anwaar Ahmad Shah,Independents
Muhammad Ilyas,Independents
Raja Zaheer Hussain,Independents
Ashfaq Ahmad Cheema,Independents
Khalid Sulehri,Independents
Muhammad Attique-Ur-Rehman,Independents
Khurshid Anwar Qureshi,Independents
Muhammad Arshad Hussain Chishti,Pakistan Freedom Party
Dr. Tariq Fazal Chaudry,Pakistan Muslim League (Nawaz)
Syed Nayyer Hussain Bukhari,Pakistan Peoples Party Parliamentarians
Mustafa Nawaz Khokhar,Pakistan Muslim League (Qaid-e-Azam)
Malik Tabarak Hussain,Independents
Raja Ishtiaq Ahmed,Jamiat Ulema-e Islam (Fazl)
M.iqbal Haider,Awami Himayat Tehreek Pakistan
Zafar Alam Sarwar,Independents
Raja Abdul Ghaffar,Independents
Sajid Zaman,Independents
Mufti Ameer Zeb,Independents
Raja Muhammad Aftab Satti,Pakistan Aman Party
Muhammad Tariq Khattak,Pakistan Peoples Party Parliamentarians
Tariq Hameed Khattak,Awami National Party
Mian Yahya Shah Kaka Khel,Pakistan Muslim League (Qaid-e-Azam)
Mufti Muhammad Sajjad,Jamiat Ulema-e Islam (Fazl)
Ishtiaq Ahmed,Pakistan Muslim League (Nawaz)
Sajid,Independents
Astaghfir Ullah,Independents
Shahid Khaqan Abbassi,Pakistan Muslim League (Nawaz)
Ghulam Murtaza Satti,Pakistan Peoples Party Parliamentarians
Javed Iqbal Satti,Pakistan Muslim League (Qaid-e-Azam)
Masood Ahmad Abbassi,Independents
Raja Pervaiz Ashraf,Pakistan Peoples Party Parliamentarians
Raja Qasim Javaid Ikhlas,Pakistan Muslim League (Qaid-e-Azam)
Ch. Muhammad Riaz,Pakistan Muslim League (Nawaz)
Saleem Akram,Independents
Yehya Faiz,Independents
Chaudhry Nisar Ali Khan,Pakistan Muslim League (Nawaz)
Muhammad Nasir Raja,Pakistan Muslim League (Qaid-e-Azam)
Khurram Pervaiz Raja,Pakistan Peoples Party Parliamentarians
Muhammad Idrees Haqani,Jamiat Ulema-e Islam (Fazl)
Group Captain (Ret.) Mushtaq Ahmed Kayani,Independents
Raja Muhammad Ashraf,Pakistan Tehreek-e-Inqalab
Nabeela Inam,Independents
Ch. Sarfraz Afzal,Independents
Muhammad Saghir Khokhar,Independents
Chaudhry Nisar Ali Khan,Pakistan Muslim League (Nawaz)
Ghulam Sarwar Khan,Pakistan Muslim League (Qaid-e-Azam)
Faisal Iqbal,Independents
Sardar Shoaib Mumtaz Khan,Pakistan Peoples Party Parliamentarians
Ch. Muhammad Kamran Ali Khan,Independents
Malik Muhamad Khalid,Independents
Kashif Ali Khan,Muttahida Qaumi Movement
Malik Abrar Ahmad,Pakistan Muslim League (Nawaz)
Zumarad Khan,Pakistan Peoples Party Parliamentarians
Muhammad Basharat Raja,Pakistan Muslim League (Qaid-e-Azam)
Asghar Ali Mubarak,Independents
Allama Haider Alvi,Sunni Tehreek
Prof. Mushtaq Hussain Mughal,Muttahida Qaumi Movement
Malik Izzat Mehmand,Independents
Sumera Gul,Independents
Maj(R) Mahr Muhammad Ramzan,Awami National Party
M. Javed Iqbal,Independents
Sajid Mehmood Khan,Independents
Muhammad Saleem Advocate,Independents
Major(R) Raja Sultan Akbar,Independents
Makhdoom Muhammad Javed Hashmi,Pakistan Muslim League (Nawaz)
Malik Aamer Fida Paracha,Pakistan Peoples Party Parliamentarians
Rasheed Ahmed,Pakistan Muslim League (Qaid-e-Azam)
Muhammad Akram Abbasi,Jamiat Ulema-e Islam (Fazl)
Salamat Akhtar,Independents
Muhammad Hussain Awan,Muttahida Qaumi Movement
Ejaz Khan Jazi,Independents
Muhammad Sultan Alam,Independents
Muhammad Hanif Abbasi,Pakistan Muslim League (Nawaz)
Sardar Shaukat Hayat Khan,Pakistan Peoples Party Parliamentarians
