candidate_name,candidate_party
Rana Shaukat Hayat,Pakistan Peoples Party Parliamentarians
Ghulam Abbas,Jamiat Ulama-e-Islam (Sami)
Mian M. Nawaz Sharif,Pakistan Muslim League (Nawaz)
Sardar Haider Zaman Khan,Pakistan Muslim League (Haqiqi)
Col. (R) Abdur Razzaq Khan Abbasi,Hazara Front
Shah Mehmood Qureshi,Pakistan Peoples Party Parliamentarians
Makhdoom M. Javed Hashmi,Pakistan Muslim League (Nawaz)
"Shah M. Sahu, Adv.",Independents
Akhtar Hussain Gill,Islami Jamhoori Mahaz
Haji M. Iqbal Hiraj,Pakistan Peoples Party Parliamentarians
Syed Fakhar Imam Shah,Pakistan Muslim League (Nawaz)
Aftab Ahmad Khan,Pakistan Muslim League (Nawaz)
Sardar Allah Yar,Pakistan Peoples Party Parliamentarians
Pir M. Aslam Bodla,Pakistan Peoples Party Parliamentarians
Begum Majeeda Wyne,Pakistan Muslim League (Nawaz)
Tanveer Ahmad,Independents
Mehar Khizar Hayat Hiraj,National Peoples Party
Khan Farhatullah Khan,Independents
Nuarez Shakoor Khan,Pakistan Peoples Party Parliamentarians
Anwar-Ul-Haq Ramay,Pakistan Muslim League (Nawaz)
Rana Aftab Ahmad Khan,Independents
Ch. M. Idrees,Pakistan Islamic Front
Ehsan-Ul-Haq Khan,Independents
Syed Nadeem Hussain,Independents
Mian M. Rafiq,Independents
Mehar Ghulam Fareed Kathia,Pakistan Peoples Party Parliamentarians
Ch. M. Ashraf,Pakistan Muslim League (Nawaz)
Maj. (R) Ahmad Mehmood,Pakistan Islamic Front
Ghulam Fareed,Independents
Roshan Ali,Independents
Shahnaz Javed,Pakistan Peoples Party Parliamentarians
Rai Ahmad Nawaz,Pakistan Muslim League (Nawaz)
Molvi Bashir Ahmad,Pakistan Islamic Front
Shahnaz Bibi,Independents
Mian M. Amjad Joiya,Pakistan Peoples Party Parliamentarians
Raja Shahid Saeed Khan,Pakistan Muslim League (Nawaz)
Abdur Rehman Alias Jami,Pakistan Islamic Front
Aish M. Khan Sara,Independents
Rana Ghazanfar Abbas Khan,Jamiat Ulama-e-Islam (Sami)
Rao M. Hashim Khan,Pakistan Peoples Party Parliamentarians
M. Ahmad Khan,Pakistan Muslim League (Nawaz)
Ahmad Raza Khan Maneka,Pakistan Muslim League (Haqiqi)
Mian Noor M. Khan Bhabha,Pakistan Peoples Party Parliamentarians
M. Nawaz Khan Alias Dilwar Khan,Pakistan Muslim League (Nawaz)
Mian Faiz Hakhsh,Independents
Haji M. Aslam Khan Khichi,Independents
Gohar Ayub Khan,Pakistan Muslim League (Nawaz)
Abdul Haq,Pakistan Islamic Front
Tehmina Aqeel Daultana,Pakistan Muslim League (Nawaz)
Abdul Hameed Bhatti,Pakistan Peoples Party Parliamentarians
Abdul Haq Duggal,Jamiat Ulama-e-Islam (Sami)
Taj M. Bhatti,Independents
Abdul Majid Mian,Independents
Mian Shaukat Ali Aqeel,Independents
Qurban Ali Chuhan,Pakistan Peoples Party Parliamentarians
Ch. Nazir Ahmad,Pakistan Muslim League (Nawaz)
Qari M. Tayyab,Independents
Nazir Ahmad Mithoo Dogar,Independents
Kh. Kamaluddin Anwar,Pakistan Peoples Party Parliamentarians
Sardar M. Amjad Farooq Khan Khosa,Pakistan Muslim League (Nawaz)
Molana M. Abdul Qadir Dervi,Jamiat Ulama-e-Islam (Sami)
Haji Saifullah Khan Saddozai,Independents
Sardar Farooq Ahmad Khan Leghari,Pakistan Peoples Party Parliamentarians
Sardar M. Saifuddin Khan Khosa,Pakistan Muslim League (Nawaz)
Mir Balakh Sher Mazari,Independents
Sardar Nasrullah Khan Dreshak,Independents
M. Rafiq Pachar,Pakistan Islamic Front
Abdul Qayoom Khan Jatoi,Pakistan Muslim League (Nawaz)
Molana Shah Ahmad Noorani Siddiqi,Islami Jamhoori Mahaz
Jameel Ahmad Hussain Bukhari,Pakistan Peoples Party Parliamentarians
Nawabzada Nasrullah Khan,National Democratic Alliance
Mian Atta M. Qureshi,Pakistan Muslim League (Nawaz)
Muzaffar Mehdi Hashmi,Independents
Jam Niaz Rasool Ganga,Pakistan Saraiki Party
Ghulam M. Mustafa Khar,Independents
Ehsan Karim Qureshi,Pakistan Muslim League (Nawaz)
Malik Ghulam M. Noor Rabani Khar,Pakistan Muslim League (Haqiqi)
Liaqat Baloch,Pakistan Islamic Front
Malik Ghulam M. Fakhar-Ur-Rusul Arbi,Independents
Haji M. Akram Dawana,Islami Jamhoori Mahaz
Dr. Syed Athar Mehdi Kazmi,Pakistan Saraiki Party
Amjad Hamid Khan Dasti,Independents
Malik M. Rafiq Khar,Independents
Malik Ghulam M. Mustafa Khar,Pakistan Peoples Party Parliamentarians
Mian Ghulam Abbas Qureshi,Pakistan Muslim League (Nawaz)
M. Ramzan Motianwala,Independents
Abdullah Salfi,Independents
Niaz Ahmad Buzdar Baloch,Independents
Malik Niaz Ahmad Jakhar,Pakistan Peoples Party Parliamentarians
Malik Ghulam Haider Thind,Pakistan Muslim League (Nawaz)
Abdur Razzaq Rahi,Independents
Liaqat Ali Khan Khetran,Independents
Mian Maqsood Ali,Independents
